ascii_value,name_len,num_vowels,num_consonent,last_letter_vowel,class
103.5,6,3,3,0,1
102.833,6,3,3,1,1
104.2,5,3,2,1,1
104.5,6,3,3,1,1
106.833,6,4,2,1,1
106.25,4,2,2,0,1
104.4,5,3,2,1,1
104.125,8,4,4,1,1
104.778,9,4,5,1,1
105.2,5,3,2,1,1
104.333,6,3,3,1,1
103.429,7,3,4,1,1
104.429,7,4,3,1,1
106.0,5,3,2,1,1
104.5,6,4,2,1,1
107.667,6,3,3,0,1
106.167,6,3,3,1,1
105.8,10,4,6,1,1
106.0,7,4,3,1,1
108.714,7,3,4,0,1
109.333,6,2,4,0,1
104.6,5,3,2,1,1
107.5,6,3,3,1,1
108.143,7,3,4,0,1
104.333,6,4,2,1,1
105.0,6,4,2,1,1
104.857,7,4,3,0,1
107.5,4,2,2,0,1
105.333,9,4,5,1,1
105.3,10,5,5,1,1
105.6,5,3,2,1,1
104.143,7,4,3,0,1
105.333,6,3,3,0,1
105.0,7,4,3,1,1
104.875,8,4,4,0,1
105.625,8,4,4,1,1
107.571,7,3,4,0,1
108.0,4,2,2,0,1
105.8,5,3,2,1,1
105.333,9,4,5,0,1
105.0,6,4,2,1,1
105.5,6,3,3,0,1
108.333,6,3,3,0,1
106.6,5,3,2,1,1
105.0,6,4,2,1,1
105.667,6,4,2,1,1
106.167,6,3,3,0,1
109.0,6,3,3,0,1
108.833,6,3,3,0,1
102.25,4,2,2,1,1
104.143,7,4,3,1,1
102.5,4,2,2,1,1
103.143,7,4,3,1,1
102.833,6,3,3,1,1
103.0,7,3,4,0,1
105.286,7,3,4,1,1
105.429,7,3,4,1,1
103.5,6,3,3,0,1
103.0,5,3,2,1,1
104.167,6,3,3,0,1
104.0,7,3,4,1,1
103.714,7,3,4,0,1
104.8,5,2,3,0,1
103.5,6,3,3,1,1
104.167,6,3,3,1,1
105.167,6,3,3,1,1
107.714,7,3,4,0,1
109.429,7,3,4,0,1
107.0,5,2,3,0,1
106.571,7,3,4,1,1
104.5,4,2,2,1,1
103.0,5,3,2,1,1
103.167,6,3,3,0,1
103.143,7,4,3,1,1
104.0,8,4,4,1,1
103.8,5,3,2,1,1
104.167,6,3,3,1,1
104.833,6,3,3,1,1
105.0,6,3,3,1,1
106.286,7,3,4,0,1
104.857,7,3,4,1,1
107.714,7,3,4,0,1
106.429,7,3,4,1,1
108.625,8,3,5,0,1
109.143,7,2,5,0,1
105.714,7,3,4,0,1
108.714,7,3,4,0,1
105.833,6,3,3,1,1
106.833,6,3,3,1,1
107.5,6,3,3,1,1
108.5,4,1,3,0,1
105.429,7,3,4,1,1
106.0,8,3,5,1,1
105.667,6,2,4,1,1
105.0,7,3,4,1,1
108.8,5,1,4,0,1
106.833,6,2,4,1,1
107.5,6,2,4,1,1
107.667,6,2,4,1,1
108.333,6,2,4,1,1
108.571,7,2,5,0,1
107.143,7,2,5,1,1
107.286,7,3,4,1,1
110.0,7,2,5,0,1
108.714,7,2,5,1,1
110.625,8,2,6,0,1
111.0,7,2,5,0,1
102.75,4,2,2,1,1
102.444,9,5,4,1,1
104.429,7,4,3,1,1
106.0,8,4,4,1,1
105.2,5,2,3,0,1
102.0,6,3,3,1,1
103.667,6,3,3,1,1
104.5,8,3,5,1,1
105.8,5,2,3,0,1
104.556,9,4,5,1,1
104.667,6,3,3,1,1
106.571,7,3,4,0,1
106.286,7,3,4,1,1
105.0,6,3,3,1,1
105.333,6,3,3,1,1
103.4,5,3,2,1,1
105.0,9,5,4,1,1
104.4,5,3,2,1,1
104.6,5,3,2,1,1
103.833,6,3,3,1,1
105.286,7,3,4,1,1
106.2,5,3,2,1,1
105.5,6,3,3,1,1
105.4,5,3,2,1,1
105.167,6,3,3,0,1
103.6,5,2,3,1,1
102.833,6,3,3,1,1
104.5,4,2,2,1,1
103.3,10,5,5,1,1
106.167,6,3,3,0,1
104.556,9,5,4,1,1
105.5,8,4,4,1,1
104.4,5,2,3,1,1
103.833,6,3,3,1,1
103.286,7,3,4,1,1
104.5,6,3,3,1,1
105.4,5,3,2,1,1
108.875,8,4,4,1,1
105.8,5,3,2,1,1
106.6,5,3,2,1,1
105.0,4,2,2,1,1
104.571,7,4,3,1,1
105.167,6,3,3,1,1
105.833,6,3,3,1,1
105.0,7,3,4,1,1
106.429,7,3,4,1,1
107.286,7,3,4,1,1
105.8,5,3,2,1,1
104.714,7,3,4,1,1
107.6,5,2,3,0,1
105.833,6,3,3,1,1
106.5,6,3,3,1,1
108.6,5,2,3,0,1
106.833,6,3,3,1,1
104.857,7,3,4,1,1
108.667,3,1,2,0,1
105.75,4,2,2,1,1
105.4,5,2,3,0,1
105.0,6,3,3,1,1
104.857,7,3,4,0,1
105.714,7,3,4,1,1
105.5,8,3,5,0,1
105.2,5,2,3,1,1
104.5,6,3,3,1,1
104.6,5,2,3,1,1
104.667,6,3,3,1,1
